age,income,loan_amount,loan_term,employment_years,credit_score,has_other_loans,approved
47,136431,3962,48,18,510,1,1
19,58575,9475,36,1,384,0,1
40,114030,44254,48,16,634,0,0
34,136681,4532,36,13,800,0,1
28,116449,41685,36,4,310,1,0
25,95680,38181,6,7,396,1,0
40,143393,48505,36,10,408,0,1
25,53701,12408,6,7,801,0,1
66,96097,20145,60,10,792,0,1
59,140346,13628,60,17,625,0,0
32,146359,65368,12,7,511,0,0
27,13493,25676,48,0,439,1,0
43,111697,13920,24,22,700,0,1
56,80355,30510,48,38,835,1,0
62,136359,43667,60,2,405,1,0
58,15522,33936,36,38,698,1,0
45,148276,63120,36,18,621,1,0
32,86954,15466,24,7,373,0,1
19,98066,59119,48,1,590,0,1
23,19776,14884,12,0,596,1,0
28,33847,44472,36,1,333,1,0
55,142072,45603,48,7,454,0,1
34,42017,28101,36,12,704,0,0
40,120988,19347,36,19,592,1,0
37,116619,68644,60,9,309,1,0
41,89487,39460,36,19,320,1,0
25,101986,30345,6,6,649,0,1
42,130920,26761,12,5,400,1,0
36,75697,28124,48,12,843,1,0
61,88652,30303,6,39,426,1,1
19,24537,55264,36,0,786,0,0
58,23121,4524,24,13,340,0,0
22,46825,65489,24,0,814,1,1
46,99618,47479,60,8,580,0,0
39,60048,48343,24,14,507,1,0
52,146591,2407,48,26,745,0,1
39,117603,33565,12,2,493,0,0
26,123127,11006,6,8,754,1,1
27,40548,19611,60,8,370,0,0
61,89246,33576,6,0,374,1,0
67,120472,56165,24,33,405,0,0
41,16009,37647,12,0,788,0,0
30,123251,40840,24,4,520,0,0
69,141766,56169,6,11,510,0,1
30,117186,26256,48,0,349,1,1
69,111298,3480,12,1,317,0,0
23,39522,13722,48,5,776,0,1
68,114743,65162,6,24,849,0,1
57,132640,4811,36,16,805,0,1
44,20199,18776,6,5,415,0,0
62,70785,11787,36,44,418,1,0
19,91022,14704,24,1,321,1,0
66,30460,3227,24,28,706,1,0
49,110872,67859,36,25,373,0,0
60,93992,16807,36,33,798,1,1
50,143063,45937,24,14,437,1,1
58,57998,29006,24,14,336,1,0
57,130474,69403,24,7,424,1,0
43,45482,68347,12,6,365,1,1
69,23428,3126,24,30,609,1,0
21,104205,68188,48,0,464,0,1
48,127128,58096,6,25,798,0,1
68,68718,20597,48,15,679,0,1
68,10127,43357,12,9,355,1,0
29,146156,27419,6,4,730,0,1
69,126677,28257,48,9,704,0,1
26,33538,61069,60,8,645,0,0
46,131711,36954,48,8,770,0,1
23,9038,44864,24,0,503,1,0
37,125676,50208,48,10,806,0,1
66,119969,37319,24,8,424,1,1
35,85330,16560,48,0,819,0,0
50,98813,32356,60,32,467,0,0
21,85113,35079,60,3,426,1,0
39,59245,46114,48,4,339,0,1
47,123661,64540,36,20,752,0,1
33,47713,36835,60,2,435,0,0
40,26812,15293,60,12,380,1,0
44,94692,58951,36,6,709,0,1
66,143484,68158,36,17,463,0,0
51,132119,18418,60,4,486,1,1
70,110825,59265,6,12,774,0,1
19,130065,13827,36,1,721,1,1
53,28402,45696,24,5,630,1,0
23,45404,26811,60,3,304,0,0
34,38150,8352,24,5,592,0,0
50,106128,59042,48,19,466,0,0
39,125972,65348,36,8,561,0,0
42,11893,29057,60,5,350,1,0
27,51306,18822,48,7,315,1,1
36,54252,7761,24,10,541,1,0
35,140822,27814,60,6,541,0,0
63,32873,29741,36,9,326,0,1
23,135240,15067,36,0,600,0,0
59,134033,12666,48,28,707,0,0
23,120011,21628,12,4,320,0,0
58,71429,42541,36,4,789,0,0
34,137667,41177,24,4,764,1,1
31,77222,56597,60,7,600,1,0
18,107579,41796,60,0,428,0,1
58,141408,28512,36,6,548,0,1
19,113351,20028,24,1,720,1,1
64,43142,6429,60,3,507,0,1
35,78573,64795,12,6,518,0,0
33,63736,24886,60,5,607,0,1
21,60647,8255,36,0,348,1,0
51,132753,52096,60,13,713,1,1
67,40675,16207,24,29,685,1,1
40,95393,39997,24,6,736,0,1
53,91763,6512,36,30,357,0,1
52,89119,54455,6,30,406,0,0
35,27184,44088,48,12,682,1,0
39,60061,28990,48,1,752,0,1
70,92761,19663,12,6,361,1,0
19,64792,43192,60,0,591,1,0
49,42120,57107,48,14,338,0,0
48,32663,69086,6,27,567,0,0
50,135075,7124,6,10,781,0,1
51,102276,49870,12,0,471,0,0
57,147605,46010,12,38,539,0,0
63,45281,35202,48,7,341,1,0
54,17480,64573,6,10,789,1,0
45,62416,41312,12,19,346,1,0
35,82785,54177,12,8,837,1,0
21,103820,25444,60,2,455,1,0
54,37099,53836,6,1,617,1,0
36,85036,60302,6,18,318,1,0
27,78319,37734,36,9,782,0,1
30,21597,27508,36,9,520,0,0
57,84550,4465,60,30,658,0,1
21,107950,27373,36,0,328,0,0
25,12357,42630,24,1,334,0,0
23,105357,30870,24,4,378,1,0
27,11687,47391,24,1,380,0,0
21,42365,43903,48,1,742,1,0
26,142194,49810,36,5,627,0,1
20,131136,25935,6,2,830,1,0
30,44609,29878,24,10,455,0,1
66,71426,4812,48,34,331,1,0
18,128110,23966,6,0,535,0,0
40,54278,8702,48,9,492,1,0
68,46946,10575,60,29,816,0,1
25,9828,43305,12,2,315,0,0
32,28307,31778,12,4,545,1,0
55,10886,13883,6,2,301,0,0
66,140003,33635,60,41,529,0,1
30,139303,3808,12,2,605,1,1
67,127538,60190,12,34,697,1,0
19,71729,52215,24,1,344,1,0
36,15112,28124,60,9,574,0,0
36,127817,59253,6,5,673,0,0
56,139002,55199,48,14,454,0,1
41,29536,68977,48,6,499,0,0
70,62653,49474,6,8,772,0,1
52,131146,26909,36,27,588,1,1
58,91623,33376,12,39,766,1,0
25,97181,32891,36,3,529,1,0
42,28376,45493,36,0,801,1,0
41,102346,69979,12,23,612,1,0
33,92271,57696,12,8,444,1,0
54,22872,68686,12,4,440,0,0
33,24521,34761,36,5,470,1,0
32,11965,45030,48,10,597,0,0
29,111439,68565,60,4,401,1,0
39,65995,57558,24,6,546,0,1
44,34447,32888,60,26,553,1,0
40,90061,64889,12,3,313,1,0
25,26069,49674,60,6,665,1,0
39,37033,48693,12,8,626,1,0
51,14599,15866,12,16,788,0,0
21,128316,45165,48,2,360,1,0
43,17680,52890,6,24,362,0,0
61,38559,1225,6,7,411,1,1
30,125918,37920,36,4,617,1,1
30,108096,53894,6,2,834,1,1
51,71143,34267,12,0,625,1,0
39,125858,34071,24,20,593,1,0
52,48945,39670,36,34,640,1,0
40,59597,15180,48,7,340,1,0
42,103446,21852,6,19,777,1,1
52,36535,26486,48,0,653,0,1
67,122156,2909,60,30,573,0,1
66,108314,3564,48,48,319,0,1
64,17873,30403,24,21,301,1,0
50,59201,54314,24,23,479,1,0
34,13376,18833,36,15,469,0,0
31,37591,19094,60,12,724,1,1
19,126845,21910,6,1,416,0,0
35,22400,48298,48,2,758,0,1
34,81090,6083,60,8,669,0,1
20,118617,44404,60,0,782,0,1
22,66816,9805,6,0,681,1,0
32,41926,33245,6,1,675,1,0
50,100081,52182,12,17,661,1,0
54,147660,31114,12,23,407,0,0
38,15180,20248,12,3,310,0,0
26,110887,12159,48,6,576,0,1
53,95003,63424,48,27,739,1,0
33,125941,67080,48,8,573,1,0
31,72275,65212,12,5,412,0,1
34,105644,25069,36,8,442,1,1
61,31194,25551,24,27,792,1,0
58,49338,14136,12,26,640,1,1
38,47297,35128,24,18,531,1,0
28,146374,21828,24,10,384,1,0
20,137984,24424,12,2,425,1,0
37,9583,45313,6,13,643,1,1
55,15959,50647,48,8,556,1,0
55,57858,11603,48,29,825,0,1
19,79035,68272,36,1,529,0,0
30,117159,21170,60,0,609,0,1
20,101824,11594,36,0,337,1,0
70,130947,60081,24,17,413,0,0
57,99904,4205,36,38,547,0,1
43,8825,39703,6,1,382,0,0
52,88425,4919,24,11,771,0,1
43,53803,56594,36,21,530,0,0
69,62118,18232,36,46,431,0,0
53,102676,23266,24,14,509,1,0
63,22336,9964,6,37,551,1,0
56,96302,61545,36,19,571,1,0
34,140976,58673,6,11,717,1,1
37,19702,8167,12,11,793,0,0
37,48389,64149,24,15,598,0,1
44,41832,68592,60,7,460,1,0
66,104255,14338,6,4,324,0,0
27,85440,43973,48,9,514,0,0
69,95922,39157,24,47,388,1,1
22,51798,57295,24,0,475,1,0
21,91783,41815,36,3,616,0,0
28,70729,56255,12,10,349,0,1
58,43894,47053,60,13,746,0,1
70,110263,44496,48,16,585,0,0
48,102476,51947,24,1,846,1,0
50,13840,14652,6,0,378,1,0
67,119458,32386,60,42,690,0,1
48,46266,4695,36,17,567,0,1
39,85296,52822,48,18,676,0,1
34,140777,9897,12,9,690,0,1
23,109216,52715,60,5,427,0,0
47,70061,40438,6,20,520,1,0
53,81617,45775,12,17,621,0,0
59,94887,22620,24,25,383,0,1
47,81646,4251,60,6,613,0,0
24,128660,8952,48,6,726,1,1
63,43773,43170,36,18,702,0,1
39,99585,28171,12,11,548,0,0
22,67675,35821,36,0,347,1,0
21,95065,48038,12,3,790,0,1
37,137499,23895,60,13,809,1,1
67,35803,12781,48,18,626,1,1
26,74317,36818,12,0,539,1,0
48,8206,45988,60,19,466,0,1
68,49737,60523,24,47,306,0,0
27,122097,55342,48,9,425,0,0
42,55679,59146,36,5,807,0,0
25,126154,50741,36,3,719,1,1
44,27650,40372,36,6,564,1,0
28,41366,63818,6,3,459,1,0
29,61654,10505,36,9,335,0,1
57,10974,45821,12,10,515,1,0
32,34857,47188,60,14,646,1,1
41,21287,6896,36,2,757,0,1
57,76307,21031,36,13,786,0,1
31,114778,23936,6,13,517,0,1
55,17431,45093,48,15,768,1,0
37,98817,35616,12,17,815,0,1
57,67965,29214,60,22,571,0,1
70,84398,42546,60,50,773,1,1
39,75177,5196,48,18,733,1,0
54,16877,4082,6,30,344,0,1
21,149530,15181,48,3,443,0,1
44,82365,69977,36,5,305,1,0
55,27433,58060,60,22,766,1,0
55,55129,29609,24,10,395,1,1
39,12850,40286,60,16,465,0,0
66,10254,57112,48,9,309,1,0
43,128225,14997,60,5,719,0,1
36,132252,54487,12,1,735,1,0
44,124106,18694,36,1,772,1,0
65,117010,14465,6,24,802,1,1
65,133093,29796,24,37,388,0,0
70,96261,55210,6,33,786,1,0
64,90176,53605,48,11,555,0,0
65,81496,37473,24,39,315,1,0
23,32526,62181,48,2,314,0,0
22,66331,7134,12,3,404,0,0
35,147140,46283,6,17,601,0,1
65,26141,62163,36,32,431,1,0
40,27009,29867,6,15,776,0,1
41,59029,21176,12,10,723,1,1
51,35391,27294,36,28,632,0,0
59,108749,31149,60,23,636,1,1
69,79019,4036,12,50,551,1,1
31,32556,1763,6,11,709,0,1
35,100973,33624,36,15,557,1,0
35,61761,55939,12,14,608,0,0
32,147495,37248,12,1,314,1,1
49,90112,9699,60,4,413,1,0
34,44534,35420,60,3,626,1,1
57,37125,7509,48,3,566,0,0
65,102337,52049,60,11,734,0,1
66,47267,21870,6,42,701,0,1
52,79149,64734,60,14,424,1,0
22,131445,56971,60,0,616,1,0
36,136737,27390,48,7,833,0,1
55,140566,10196,36,14,601,1,1
65,97754,66650,24,35,387,0,0
63,11110,23471,24,33,319,0,0
22,123003,7746,24,2,591,0,0
36,73825,6528,12,10,420,0,0
63,131347,14652,12,23,438,0,0
41,118240,4537,6,11,379,0,1
47,29542,20101,12,16,551,1,0
51,30026,54534,48,24,640,0,0
38,34260,54679,60,13,782,1,0
59,132337,28744,48,37,747,0,1
56,140602,59345,24,23,832,1,1
69,121196,28405,12,19,345,0,0
61,98393,14603,48,5,802,1,1
38,99343,51200,24,9,651,1,0
22,80034,53899,60,4,478,1,0
18,44453,7707,6,0,647,1,0
28,139531,54018,12,9,487,1,1
44,22523,49748,36,22,609,0,0
63,13236,24343,24,5,433,0,0
68,51526,47395,48,44,716,0,1
28,67232,19678,60,7,393,0,0
18,49836,15974,12,0,796,1,0
69,34660,6455,48,37,415,0,0
64,131380,63201,36,15,631,1,0
40,85947,25733,48,2,846,1,0
63,49379,69752,12,1,510,1,0
35,128583,23369,6,17,433,0,0
68,32279,53536,6,5,656,1,0
19,25349,17827,60,1,537,0,0
53,40650,43198,36,10,327,1,0
59,90233,23700,48,5,775,0,1
45,125230,52699,60,3,788,1,1
26,118223,10480,36,5,556,1,0
50,78306,17335,6,28,385,0,0
23,82243,51305,12,5,427,1,0
27,64345,66358,60,9,516,1,0
37,102157,65366,6,13,615,1,1
55,132535,15191,36,23,827,0,1
47,138224,3083,6,9,727,1,1
47,41600,25615,48,0,847,0,1
19,41255,25561,48,0,532,0,0
56,63969,13675,12,14,804,0,1
36,60668,16236,12,4,773,0,1
67,42579,54112,36,33,378,0,1
26,17982,27044,36,2,815,0,1
52,109753,65937,6,30,462,0,0
45,66253,22218,36,24,635,1,1
47,138837,1933,36,23,841,1,1
41,22134,41514,36,15,789,0,0
26,77272,40526,12,4,782,0,1
57,32883,63954,24,34,663,0,1
56,38206,2443,6,24,697,1,1
33,96036,19797,48,15,558,0,1
56,69012,43397,60,30,382,1,1
26,27235,50963,24,1,849,0,0
49,95317,65734,48,10,834,0,0
48,71897,6374,60,30,710,1,0
64,74767,45278,48,3,507,1,0
28,110769,6737,6,10,766,1,0
70,47242,17811,12,18,540,0,0
55,49537,21168,60,14,318,1,0
37,127351,42078,24,14,520,0,1
23,145441,37444,6,2,623,0,1
22,116921,35991,48,1,628,0,1
42,84222,17710,6,11,716,0,1
67,121831,41208,60,14,452,0,1
26,14377,56083,12,2,723,1,0
41,11855,36861,24,11,544,0,0
44,142368,63732,36,3,634,0,1
70,146601,35482,12,20,386,0,0
66,92718,56762,60,0,347,1,0
20,132491,69967,48,0,351,1,0
31,80290,7633,12,3,376,0,1
43,119094,61687,12,22,783,1,1
53,14872,38682,6,0,667,1,0
67,43830,23171,24,14,784,1,1
65,71972,30901,12,40,551,1,0
24,110378,52942,12,0,302,1,0
69,24973,28789,12,12,769,0,1
41,30012,10167,48,0,556,0,0
28,40416,3843,6,10,530,0,1
70,54827,51908,36,23,576,0,0
33,8107,24886,6,8,573,1,0
18,32804,40806,60,0,582,0,0
61,134858,12013,6,27,686,1,0
55,114223,25659,60,27,535,0,0
24,90435,56076,48,2,583,1,0
18,59862,30502,48,0,399,0,0
69,56787,68925,48,4,586,1,0
49,96079,64031,24,27,564,0,0
26,119870,23816,12,0,534,1,0
30,16511,45304,36,0,380,0,0
45,17772,23505,12,23,592,0,0
33,67939,44716,24,12,494,1,0
20,121968,33315,48,0,517,1,0
38,29359,58613,12,19,547,1,0
44,142441,27472,24,23,410,0,1
33,135149,4512,36,8,508,1,1
23,98097,60964,6,5,758,1,0
42,40895,59126,48,3,460,1,1
47,59220,36856,24,22,346,1,0
49,68191,8719,24,29,661,0,1
37,80005,66402,60,13,828,0,1
62,121989,8019,24,28,359,0,1
48,13855,62690,24,5,507,1,0
46,70278,8416,6,2,840,1,1
66,139063,3175,60,26,422,0,0
68,87897,14787,60,17,475,1,0
22,99370,48514,6,1,742,0,0
26,83634,48723,12,5,489,1,1
65,134739,67722,48,31,370,1,0
18,79458,47662,36,0,445,1,0
25,117167,42962,24,3,742,1,1
18,110527,69070,36,0,453,1,0
46,127805,1807,48,16,804,0,1
32,105924,46546,6,4,765,0,1
25,23097,56639,48,4,345,0,0
66,92406,9945,12,15,745,1,1
51,28993,34821,24,12,767,1,1
24,89970,40820,24,4,813,0,1
70,31744,35740,12,32,606,0,1
29,25414,1951,48,8,492,1,0
47,73817,62697,24,27,832,0,1
46,18225,19913,60,19,691,1,0
35,61308,54993,12,10,326,0,0
45,123664,21247,48,18,591,0,0
36,97805,56499,12,5,415,0,1
33,11483,24491,12,8,486,1,0
19,74029,16132,48,0,568,1,1
29,56576,57838,36,6,498,0,0
69,144956,36513,12,28,427,0,0
45,108876,19428,24,13,447,0,1
47,127004,34156,36,13,474,0,1
38,76968,8622,48,5,641,0,1
68,58017,42919,60,41,826,1,1
33,53158,38539,12,3,644,0,1
18,36058,15754,12,0,538,0,0
57,46463,30897,12,20,533,0,1
67,90481,66657,36,0,520,0,0
44,40487,14274,36,7,725,0,1
53,110149,62299,24,26,328,1,0
57,140962,15732,24,24,434,1,0
51,33762,56307,60,12,584,0,0
66,117934,69319,60,0,841,1,0
66,109222,24643,12,48,337,1,0
60,80622,17602,12,32,580,0,0
62,42375,25254,36,12,648,0,1
21,98990,36851,12,1,805,1,0
50,123769,26891,6,18,355,0,0
42,85290,49215,6,0,577,0,0
51,58494,64785,24,32,491,1,0
25,16450,17874,6,4,601,1,1
60,65310,50637,60,27,715,0,1
44,34194,65057,24,20,745,0,0
44,119425,23662,12,12,782,0,1
20,43546,26325,48,2,496,1,0
64,59152,23329,36,32,358,0,0
62,110138,30189,60,6,769,1,0
37,39867,37501,60,10,483,0,1
30,59022,5943,6,5,367,1,1
44,103029,57226,24,16,477,0,0
38,61419,41493,48,19,378,0,0
30,81713,20202,12,1,722,0,1
36,64610,31557,60,5,490,0,0
29,128364,67966,12,3,791,1,0
49,41232,48439,36,14,320,1,0
57,40032,51490,60,39,705,0,0
35,55192,16647,60,6,767,1,1
52,125908,19651,48,27,833,0,1
42,50035,62872,36,0,555,1,0
32,135074,21914,60,1,440,1,0
34,45283,24075,60,5,456,0,0
43,139246,32908,36,16,690,1,0
65,24828,17794,12,17,811,0,0
50,73506,17423,12,23,736,0,1
62,54348,64281,36,19,730,0,1
31,106524,32427,6,11,442,1,0
69,30507,3942,12,48,502,0,0
41,147601,57319,12,4,848,1,1
20,73099,60409,48,1,810,1,0
70,115215,10291,6,23,422,0,1
63,66743,65942,36,27,846,0,0
42,82780,51205,24,17,467,1,0
68,38660,67199,48,1,598,1,0
59,36236,41305,60,35,510,1,0
57,14128,45882,36,24,650,0,1
59,52281,37206,12,36,477,0,0
48,45129,25387,24,11,689,0,0
23,143739,52469,24,0,517,0,1
45,79999,26319,6,16,633,1,1
49,121220,21296,6,7,603,1,0
28,141061,22105,24,5,804,1,1
62,149645,58185,60,44,634,0,1
68,58222,28673,60,32,698,1,1
63,98334,12905,24,31,749,0,1
18,140242,5162,60,0,483,1,0
60,62286,25735,12,38,441,0,0
29,70878,44167,6,1,596,0,0
37,104259,22044,60,13,419,1,0
52,61946,45349,48,11,325,1,0
24,15002,69059,36,1,324,0,0
47,89681,6006,60,16,743,1,1
66,47956,33451,24,38,711,0,1
50,62349,22994,12,10,785,1,1
44,48406,15191,6,4,700,1,0
68,125827,23086,6,20,319,1,1
70,147155,32170,36,35,492,0,0
41,135684,58577,12,1,528,0,1
40,140240,12689,6,18,716,1,0
65,45930,34571,48,15,376,1,0
36,126950,68445,24,15,301,1,0
43,57283,13962,60,11,822,0,1
32,16840,30927,48,14,327,1,0
38,74651,17706,24,16,622,0,1
48,142352,1299,36,12,776,0,1
23,141666,52252,36,1,386,0,0
47,18523,20754,36,15,663,0,0
45,147300,49053,48,18,356,0,0
41,117230,10829,48,18,556,0,0
44,76493,50503,36,16,318,0,1
62,91650,69466,24,18,798,0,1
60,98067,16668,12,29,759,1,0
44,87862,39461,6,23,681,0,0
57,27108,67701,60,21,849,1,1
38,12172,58571,60,12,302,0,0
24,45252,55331,60,3,790,0,1
68,114371,24018,36,34,306,1,0
40,139608,8921,60,9,403,0,1
39,17707,9988,6,6,463,1,0
19,53168,38851,24,1,661,0,0
57,81353,56541,48,36,422,1,0
68,43281,22710,12,17,737,1,1
24,78003,7585,6,6,430,1,0
22,49322,15358,36,0,324,0,0
30,26381,28043,6,0,731,1,0
29,29246,36591,60,9,656,0,0
63,51307,69284,6,10,529,1,0
51,124310,52125,48,25,332,0,1
33,25992,54068,48,14,663,0,0
56,57870,5831,60,16,732,1,0
20,149558,66832,6,0,376,0,0
23,125816,64482,12,5,431,1,0
63,132079,32651,12,22,377,1,0
18,55042,18848,24,0,628,0,0
22,143353,3505,60,0,712,0,1
60,113588,50873,48,35,339,0,0
62,99384,8609,6,21,792,1,0
53,84897,6772,60,30,675,1,0
24,29291,40752,24,6,450,1,0
33,148869,51932,6,14,811,1,0
54,93868,62240,12,2,844,1,0
58,109896,64944,12,31,718,0,0
19,38909,53322,48,0,747,1,1
66,54155,44856,36,3,708,0,1
53,117900,48159,24,0,462,1,0
61,66019,31055,60,31,556,0,1
42,22886,9803,48,1,664,1,0
34,89404,66442,36,5,826,1,1
32,50860,12089,6,11,812,0,1
62,61384,57405,24,40,706,0,1
37,12251,28056,60,4,511,1,0
25,136531,24888,6,7,386,1,1
48,59588,24292,36,22,328,0,1
30,35896,68241,36,12,664,0,1
68,79289,46358,24,12,719,1,1
44,62544,6407,48,13,406,0,1
70,72218,14671,24,26,640,0,1
35,86839,18407,60,13,520,0,0
62,142300,69983,24,20,640,0,0
59,137157,17551,12,0,305,1,0
66,111858,43792,36,29,763,0,0
32,16971,12619,6,12,550,0,0
40,146199,27726,48,5,353,1,0
28,93840,31224,60,6,769,0,1
30,39327,8614,24,12,325,1,0
58,117920,9308,48,11,638,1,1
28,53958,5970,60,5,522,0,1
39,41764,54687,36,5,481,1,0
55,57035,42446,36,23,384,1,0
40,21003,3430,36,22,692,1,0
33,122081,46516,48,9,597,1,0
40,42298,23987,24,6,389,1,0
18,47871,17381,60,0,443,1,0
25,12170,20707,6,6,784,1,1
25,90639,32704,6,2,555,1,0
27,142332,27939,24,8,531,0,1
35,82270,31833,24,7,830,0,0
38,86837,21416,6,1,576,1,0
65,140108,11941,60,9,645,1,1
50,63010,4077,6,32,547,1,1
59,93825,56827,12,5,813,0,1
20,71144,28424,6,1,723,0,1
45,133142,66622,12,22,470,1,0
23,103910,24825,60,2,672,1,0
44,106735,66765,48,6,433,1,0
66,122524,39757,60,26,481,0,1
59,72880,63229,48,12,586,1,1
69,143523,36544,24,30,591,0,0
52,8077,49638,6,30,400,0,0
56,18196,46910,6,0,764,1,0
32,126846,3248,24,10,506,0,1
37,29716,63392,60,11,805,0,0
52,117340,49982,24,21,633,1,1
36,10397,19297,12,16,691,0,0
40,30853,49320,60,7,828,1,1
42,75716,1538,12,13,805,0,1
27,12794,64353,12,5,645,1,0
60,29455,36474,6,28,834,0,0
70,11095,67115,12,28,792,0,1
39,105137,39711,36,6,752,0,1
34,76947,63645,60,2,533,1,0
67,36871,30568,6,40,544,0,1
47,134827,15887,12,14,327,0,1
47,149564,68651,48,5,489,0,1
66,23622,49444,60,36,457,1,0
68,141267,53736,12,34,628,0,1
20,15492,15586,12,0,415,0,0
46,37624,6557,48,10,830,1,1
25,90858,26224,6,1,421,0,1
22,88777,11318,60,2,600,1,0
42,147759,13181,6,10,482,0,1
43,132929,24513,48,6,346,0,0
65,33215,34160,12,45,762,1,0
53,92555,68783,24,17,746,0,1
36,109377,33189,24,7,715,0,1
